Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Time,st_Road_Class,st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,nd_Road_Class,nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards
2.01801E+12,531120,175460,1,3,2,1,02/01/2018,3,1,1,6,20,3,-1,2,2,0,5,4,2,2,0,0
2.01801E+12,523200,165220,1,3,2,1,01/01/2018,2,1,1,6,30,5,4,2,2,0,0,4,2,2,0,0
2.01801E+12,529930,173810,1,3,1,2,02/01/2018,3,1,1,6,20,0,0,2,2,0,4,4,8,2,0,0
2.01801E+12,538280,179360,1,3,2,1,02/01/2018,3,1,1,6,20,9,4,2,2,0,1,4,2,2,0,0
2.01801E+12,530490,178740,1,2,1,1,02/01/2018,3,1,1,3,30,3,2,2,2,0,5,4,2,2,0,0
2.01801E+12,526780,195980,1,3,2,3,02/01/2018,3,1,1,6,30,0,0,2,2,0,0,4,2,2,0,0
2.01801E+12,511230,183080,1,3,4,2,02/01/2018,3,1,1,6,20,3,4,2,2,0,0,4,2,2,0,0
2.01801E+12,526080,166630,1,3,2,1,02/01/2018,3,1,1,1,30,1,2,2,2,0,4,4,1,2,0,0
2.01801E+12,544670,184590,1,3,2,1,02/01/2018,3,1,1,6,30,0,0,2,2,0,0,4,2,2,0,0
2.01801E+12,528280,172840,1,3,2,1,02/01/2018,3,1,1,2,30,3,4,2,2,-1,-1,4,2,2,0,0
2.01801E+12,533520,186040,1,2,1,1,02/01/2018,3,1,1,6,20,0,0,2,2,0,0,4,2,2,0,0
2.01801E+12,530970,172590,1,2,3,1,03/01/2018,4,1,1,2,30,8,4,2,2,0,0,4,4,2,0,0
2.01801E+12,535180,197280,1,3,1,1,01/01/2018,2,1,1,9,30,8,-1,2,2,-1,-1,4,8,1,0,-1
2.01801E+12,519440,179320,1,3,1,1,03/01/2018,4,1,1,6,20,0,0,2,2,0,0,4,1,1,0,2
2.01801E+12,515150,189790,1,3,1,1,02/01/2018,3,1,1,7,30,0,0,2,2,0,0,1,2,2,0,0
2.01801E+12,526620,168340,1,3,2,1,02/01/2018,3,1,1,6,30,3,4,2,2,0,0,1,1,1,0,0
2.01801E+12,513680,186420,1,2,3,1,03/01/2018,4,1,1,1,30,1,4,2,2,0,0,1,4,1,0,0
2.01801E+12,539780,179240,1,3,2,1,03/01/2018,4,1,1,6,30,6,2,2,2,0,5,1,4,1,0,0
2.01801E+12,534010,168460,1,3,2,1,01/01/2018,2,1,1,6,30,0,0,2,2,-1,5,1,1,1,0,0
2.01801E+12,509750,182000,1,3,1,1,03/01/2018,4,1,1,6,30,3,4,2,2,0,0,1,1,1,0,0
2.01801E+12,553230,191320,1,3,1,1,03/01/2018,4,1,1,3,30,3,4,2,2,0,8,1,1,1,0,0
2.01801E+12,538380,192290,1,2,2,2,03/01/2018,4,1,1,3,20,3,4,2,2,0,4,1,4,1,0,0
2.01801E+12,548160,168240,1,3,2,1,03/01/2018,4,1,1,6,30,3,-1,2,2,0,0,1,1,1,0,0
2.01801E+12,522820,184450,1,3,2,1,03/01/2018,4,1,1,6,30,0,0,2,2,0,0,1,4,1,0,0
2.01801E+12,531260,182120,1,3,2,1,03/01/2018,4,1,1,6,20,0,0,2,2,0,0,1,1,1,0,0
2.01801E+12,521470,188720,1,3,1,1,03/01/2018,4,1,1,6,30,3,2,2,2,0,5,1,4,1,0,0
2.01801E+12,536770,177040,1,3,2,1,03/01/2018,4,1,1,6,30,3,4,2,2,0,0,1,4,1,0,0
2.01801E+12,523950,196420,1,3,2,1,03/01/2018,4,1,1,6,30,0,0,2,2,-1,1,1,1,1,0,0
2.01801E+12,531040,175450,1,3,1,1,02/01/2018,3,1,1,6,30,0,0,2,2,0,-1,1,1,1,0,0
2.01801E+12,535970,175850,1,3,2,1,03/01/2018,4,1,1,6,30,9,4,2,2,0,0,1,4,1,0,0
2.01801E+12,533270,183320,1,3,2,1,03/01/2018,4,1,1,6,30,3,-1,2,2,0,0,7,4,2,0,0
2.01801E+12,530040,177850,1,3,2,1,03/01/2018,4,1,1,3,30,0,0,2,2,0,0,1,1,1,0,0
2.01801E+12,513960,175740,1,3,1,2,03/01/2018,4,1,1,2,20,0,0,2,2,0,0,1,1,1,0,0
2.01801E+12,524410,186850,1,3,1,1,03/01/2018,4,1,1,6,30,6,2,2,2,0,0,1,1,1,0,0
2.01801E+12,533620,179090,1,3,1,1,03/01/2018,4,1,1,6,20,6,4,2,2,0,1,4,1,1,0,2
2.01801E+12,535100,179550,1,3,2,1,03/01/2018,4,1,1,1,20,1,4,2,2,0,1,1,1,1,0,0
2.01801E+12,527290,200320,1,3,2,1,03/01/2018,4,1,1,3,70,0,0,2,2,0,0,1,4,1,0,0
2.01801E+12,537930,186140,1,3,3,1,03/01/2018,4,1,1,2,20,9,4,2,2,0,1,4,1,1,0,0
2.01801E+12,525740,181470,1,3,1,2,03/01/2018,4,1,1,6,30,3,2,2,2,0,1,7,1,1,0,0
2.01801E+12,532590,182700,1,2,1,1,03/01/2018,4,1,1,2,20,3,4,2,2,0,0,4,1,1,0,0
2.01801E+12,534170,192690,1,3,1,1,03/01/2018,4,1,1,6,30,0,0,2,2,0,0,4,1,1,0,0
2.01801E+12,533650,188910,1,3,2,1,02/01/2018,3,1,1,3,20,3,2,2,2,0,5,4,2,2,0,0
2.01801E+12,520820,191040,1,3,1,1,03/01/2018,4,1,1,6,30,6,4,2,2,0,0,4,1,1,0,0
2.01801E+12,534610,171530,1,3,1,2,02/01/2018,3,1,1,6,20,9,2,2,2,0,5,4,2,2,0,1
2.01801E+12,523260,180760,1,3,2,1,03/01/2018,4,1,1,6,30,0,0,2,2,0,5,4,1,2,0,0
2.01801E+12,546970,183620,1,3,2,1,03/01/2018,4,1,1,3,40,3,2,2,2,0,0,4,1,1,0,0
2.01801E+12,530160,172090,1,3,1,1,03/01/2018,4,1,1,3,30,0,0,2,2,0,0,4,1,1,0,0
