LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Children and Young People Sub-domain Score,Adult Skills Sub-domain Score,Geographical Barriers Sub-domain Score,Wider Barriers Sub-domain Score,Indoors Sub-domain Score,Outdoors Sub-domain Score
E01000001,City of London 001A,E09000001,City of London,-2.2,0.0,-0.2,2.7,0.4,1.2
E01000002,City of London 001B,E09000001,City of London,-2.1,0.0,-0.2,2.5,0.7,0.8
E01000003,City of London 001C,E09000001,City of London,0.1,0.1,-0.4,3.7,0.7,1.9
E01000005,City of London 001E,E09000001,City of London,-0.3,0.3,-1.3,4.8,0.1,1.6
E01032739,City of London 001F,E09000001,City of London,-0.9,0.0,0.3,3.0,1.4,1.8
E01032740,City of London 001G,E09000001,City of London,-2.1,0.1,-0.4,3.7,1.7,1.8
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,-0.4,0.3,0.0,4.3,0.5,0.6
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,-0.4,0.3,-0.3,6.8,0.3,1.3
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,0.3,0.4,-0.3,5.8,0.0,1.0
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,-0.1,0.3,-0.7,5.3,0.5,1.0
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,0.2,0.2,-0.8,6.7,0.9,0.7
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,0.1,0.3,-0.2,5.5,0.5,0.7
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,0.4,0.3,-0.2,6.0,1.0,1.0
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,0.3,0.4,-1.2,4.6,0.4,0.8
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,0.4,0.4,-0.6,4.5,0.3,0.7
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,0.3,0.4,-0.6,5.6,0.6,0.3
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,0.0,0.4,-0.8,4.3,0.2,0.4
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,0.3,0.4,-0.9,4.5,0.3,0.5
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,0.4,0.4,-1.0,4.4,0.1,0.2
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,0.0,0.4,-1.1,4.1,0.2,0.3
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,0.2,0.4,-0.9,4.3,0.4,0.2
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,0.5,0.4,-1.2,4.7,1.1,0.5
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,0.4,0.4,-0.5,4.2,0.3,0.4
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,0.6,0.3,-1.1,4.7,0.5,0.8
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,0.4,0.4,-0.8,4.4,0.4,0.4
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,0.2,0.4,-0.9,4.5,0.4,0.6
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,1.0,0.4,-0.3,4.5,0.0,0.1
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,0.2,0.4,-0.5,4.8,-0.3,0.1
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,0.0,0.3,0.5,3.3,0.1,0.3
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,0.7,0.4,-0.8,5.4,0.2,0.4
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,-0.4,0.3,-1.1,3.4,0.2,0.8
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,-0.1,0.4,-0.7,3.6,0.6,0.8
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,0.4,0.4,0.3,4.6,0.2,0.6
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,0.3,0.4,0.2,4.0,-0.1,0.0
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,0.0,0.4,-0.3,3.8,0.3,0.4
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,-0.3,0.4,-1.4,3.2,0.4,0.9
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,-0.1,0.4,-0.3,2.5,0.0,0.3
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,-0.5,0.4,-1.2,3.0,-0.1,0.2
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,0.2,0.3,0.4,2.7,0.0,0.1
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,0.1,0.4,-1.9,4.7,0.4,0.5
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,0.4,0.5,-0.3,4.4,0.5,0.6
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,0.5,0.4,-0.3,5.1,0.3,0.5
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,0.3,0.4,-0.9,4.3,0.2,0.9
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,0.2,0.3,-1.3,4.4,0.7,0.9
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,0.3,0.4,-1.1,4.6,0.6,1.4
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,0.2,0.4,-0.3,4.4,0.4,0.5
E01000048,Barking and Dagenham 021B,E09000002,Barking and Dagenham,0.0,0.4,-0.3,5.9,0.0,0.8
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,0.2,0.4,-0.1,5.8,0.1,1.0
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,0.4,0.4,-0.9,5.0,0.8,1.0
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,0.2,0.4,-0.9,6.0,0.2,0.9
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,0.5,0.4,-0.5,4.6,0.3,1.1
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,0.3,0.4,-0.3,4.5,0.5,0.7
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,0.0,0.4,-1.0,4.3,0.3,0.5
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,0.4,0.4,-0.7,4.4,0.1,0.7
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,-0.2,0.4,-0.1,4.9,0.1,0.7
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,0.7,0.4,-1.2,4.7,0.2,0.9
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,0.2,0.4,-0.6,4.6,0.4,0.4
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,0.1,0.4,-0.6,4.5,0.6,0.3
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,-0.2,0.4,-0.2,4.7,-0.3,0.8
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,0.5,0.5,0.1,5.7,0.1,0.0
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,0.6,0.4,-0.5,4.2,-0.1,0.3
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,0.6,0.4,-0.9,4.3,0.3,0.4
E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,0.4,0.4,-0.2,4.3,0.6,0.6
E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,0.3,0.4,-1.2,5.0,0.4,0.4
E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,-0.3,0.4,0.1,3.9,-0.1,0.2
E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,-0.5,0.4,-0.4,3.8,-0.4,0.7
E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,-0.7,0.3,0.2,3.8,0.1,0.5
E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham,-0.8,0.4,-1.0,3.1,-0.1,0.5
E01000070,Barking and Dagenham 011D,E09000002,Barking and Dagenham,-0.6,0.3,-0.5,3.6,0.0,0.9
E01000071,Barking and Dagenham 011E,E09000002,Barking and Dagenham,-0.3,0.3,-0.4,3.9,0.0,0.5
E01000072,Barking and Dagenham 017E,E09000002,Barking and Dagenham,0.4,0.4,-1.0,5.5,0.5,1.1
E01000073,Barking and Dagenham 012B,E09000002,Barking and Dagenham,0.5,0.4,-1.2,4.4,0.2,0.5
E01000074,Barking and Dagenham 012C,E09000002,Barking and Dagenham,0.3,0.4,-0.8,4.6,-0.1,0.6
E01000075,Barking and Dagenham 012D,E09000002,Barking and Dagenham,0.2,0.4,-0.3,4.3,0.7,0.9
E01000076,Barking and Dagenham 012E,E09000002,Barking and Dagenham,0.3,0.5,-0.4,4.9,0.3,0.4
E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham,0.2,0.5,-1.4,4.7,0.6,0.7
E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham,0.5,0.4,-1.5,4.8,0.6,0.6
E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham,0.2,0.4,-0.2,4.6,0.3,0.4
E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham,-0.2,0.4,-0.5,4.7,0.1,0.5
E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham,0.2,0.4,-0.6,4.3,0.3,0.4
E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham,-0.1,0.4,-1.3,4.4,0.4,0.6
E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham,0.2,0.4,-0.8,4.6,0.6,0.6
E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham,0.9,0.4,-1.2,4.5,0.3,0.8
E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham,0.4,0.5,-1.5,5.4,0.5,0.5
E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham,0.1,0.4,-0.9,4.3,0.3,0.5
E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham,0.2,0.4,-0.3,4.3,0.5,0.5
E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham,0.1,0.4,-0.8,4.3,0.5,0.9
E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham,0.0,0.4,-0.4,4.0,0.7,0.9
E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham,-0.1,0.4,-0.1,4.2,0.3,0.4
E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham,0.5,0.5,-0.7,5.2,0.0,0.8
E01000092,Barking and Dagenham 019E,E09000002,Barking and Dagenham,0.0,0.3,0.4,4.5,-0.1,0.4
E01000093,Barking and Dagenham 022B,E09000002,Barking and Dagenham,0.5,0.4,-1.2,5.2,0.0,0.9
E01000094,Barking and Dagenham 022C,E09000002,Barking and Dagenham,0.1,0.3,0.5,4.9,0.5,0.6
E01000095,Barking and Dagenham 018E,E09000002,Barking and Dagenham,0.6,0.3,0.7,4.2,-0.3,0.5
E01000096,Barking and Dagenham 022D,E09000002,Barking and Dagenham,0.4,0.4,-0.2,5.1,0.0,1.5
E01000097,Barking and Dagenham 023C,E09000002,Barking and Dagenham,0.4,0.4,-0.7,4.8,0.3,0.6
E01000098,Barking and Dagenham 023D,E09000002,Barking and Dagenham,0.3,0.4,-1.3,4.5,0.2,0.3
E01000099,Barking and Dagenham 023E,E09000002,Barking and Dagenham,-0.1,0.4,-0.7,4.3,0.2,0.3
E01000100,Barking and Dagenham 004B,E09000002,Barking and Dagenham,0.0,0.4,-1.3,4.5,0.6,0.5
E01000101,Barking and Dagenham 004C,E09000002,Barking and Dagenham,0.0,0.4,-1.2,4.4,0.6,0.8
E01000102,Barking and Dagenham 007G,E09000002,Barking and Dagenham,0.1,0.4,-0.9,4.4,0.4,0.3
E01000103,Barking and Dagenham 014A,E09000002,Barking and Dagenham,0.7,0.4,-0.2,4.5,0.0,0.4
E01000104,Barking and Dagenham 014B,E09000002,Barking and Dagenham,0.2,0.4,-0.4,4.8,-0.1,0.7
E01000105,Barking and Dagenham 014C,E09000002,Barking and Dagenham,0.6,0.4,-1.4,5.5,0.1,0.5
E01000106,Barking and Dagenham 014D,E09000002,Barking and Dagenham,0.5,0.4,-0.5,4.9,1.0,0.2
E01000107,Barking and Dagenham 010C,E09000002,Barking and Dagenham,-0.1,0.4,-0.1,3.6,0.3,0.2
E01000108,Barking and Dagenham 010D,E09000002,Barking and Dagenham,0.0,0.4,-1.9,4.0,1.0,0.6
E01000109,Barking and Dagenham 004D,E09000002,Barking and Dagenham,0.1,0.4,-0.6,3.8,0.5,0.6
E01000110,Barking and Dagenham 002C,E09000002,Barking and Dagenham,-0.5,0.3,-0.7,2.8,-0.2,0.4
E01000111,Barking and Dagenham 002D,E09000002,Barking and Dagenham,0.1,0.4,-0.4,4.0,0.4,0.8
E01000112,Barking and Dagenham 002E,E09000002,Barking and Dagenham,-0.2,0.3,-1.2,4.2,0.7,0.9
E01000113,Barking and Dagenham 002F,E09000002,Barking and Dagenham,-0.4,0.3,-0.5,3.8,0.3,0.9
E01000114,Barking and Dagenham 004E,E09000002,Barking and Dagenham,-0.2,0.4,-0.5,3.9,0.6,0.5
E01032580,Barking and Dagenham 023F,E09000002,Barking and Dagenham,0.1,0.4,-1.2,4.7,0.0,0.8
E01033587,Barking and Dagenham 021E,E09000002,Barking and Dagenham,0.2,0.3,-0.2,6.6,0.2,1.1
E01033588,Barking and Dagenham 021F,E09000002,Barking and Dagenham,0.4,0.3,-0.4,7.0,0.2,0.8
E01000115,Barnet 009A,E09000003,Barnet,-1.9,0.2,-0.6,1.4,-1.0,0.5
E01000116,Barnet 009B,E09000003,Barnet,-1.1,0.2,-1.1,1.9,-0.3,0.6
E01000117,Barnet 010A,E09000003,Barnet,-0.5,0.2,-0.4,2.2,-0.1,0.4
E01000118,Barnet 010B,E09000003,Barnet,-0.5,0.2,-0.6,2.1,-0.7,0.5
E01000119,Barnet 009C,E09000003,Barnet,-1.3,0.2,-0.5,1.7,-0.7,0.9
E01000120,Barnet 009D,E09000003,Barnet,-1.5,0.2,-0.8,1.7,-0.5,0.6
E01000121,Barnet 010C,E09000003,Barnet,0.4,0.3,-0.2,3.8,-0.8,0.5
E01000122,Barnet 009E,E09000003,Barnet,-1.3,0.2,0.3,2.0,-0.2,0.4
E01000123,Barnet 010D,E09000003,Barnet,-0.5,0.3,0.2,2.3,-0.4,0.4
E01000124,Barnet 010E,E09000003,Barnet,0.0,0.2,-0.7,3.7,0.2,0.9
E01000125,Barnet 024A,E09000003,Barnet,0.5,0.4,-0.5,4.8,0.1,1.0
E01000126,Barnet 026A,E09000003,Barnet,-0.1,0.3,-0.1,5.5,0.6,0.5
E01000127,Barnet 024B,E09000003,Barnet,0.0,0.4,-1.4,4.3,-0.3,0.7
E01000128,Barnet 024C,E09000003,Barnet,0.2,0.4,-0.5,4.0,-0.2,0.9
E01000129,Barnet 024D,E09000003,Barnet,0.3,0.4,-1.5,5.7,0.2,1.3
E01000130,Barnet 021A,E09000003,Barnet,-0.1,0.4,-0.2,4.2,0.8,0.7
E01000131,Barnet 024E,E09000003,Barnet,-0.3,0.3,0.0,4.0,-0.4,0.7
E01000132,Barnet 021B,E09000003,Barnet,0.1,0.4,-1.7,4.2,-0.3,0.6
E01000133,Barnet 021C,E09000003,Barnet,0.3,0.4,-0.6,4.2,-0.3,1.0
E01000134,Barnet 024F,E09000003,Barnet,-0.1,0.3,-0.5,4.3,0.1,0.6
E01000135,Barnet 038A,E09000003,Barnet,-0.7,0.2,-0.6,3.1,-0.3,1.1
E01000136,Barnet 038B,E09000003,Barnet,-0.5,0.1,-0.1,2.7,0.1,1.1
E01000137,Barnet 041A,E09000003,Barnet,-0.3,0.2,-0.4,5.3,0.1,1.2
E01000138,Barnet 040A,E09000003,Barnet,-0.8,0.3,-0.4,4.5,0.1,1.2
E01000139,Barnet 041B,E09000003,Barnet,-0.8,0.2,-0.7,3.2,0.1,1.4
E01000140,Barnet 041C,E09000003,Barnet,0.0,0.2,-1.2,3.8,0.6,0.7
E01000141,Barnet 039A,E09000003,Barnet,-0.2,0.3,-1.2,4.6,1.3,1.8
E01000142,Barnet 040B,E09000003,Barnet,-0.4,0.2,-0.7,3.7,0.7,0.9
E01000143,Barnet 041D,E09000003,Barnet,0.2,0.3,-0.6,5.4,-0.4,1.1
E01000144,Barnet 038C,E09000003,Barnet,-0.5,0.1,-0.7,4.1,0.4,1.5
E01000145,Barnet 037A,E09000003,Barnet,-0.9,0.2,-0.6,3.5,0.0,1.2
E01000146,Barnet 038D,E09000003,Barnet,-0.8,0.2,-1.3,4.4,0.3,1.4
E01000147,Barnet 030A,E09000003,Barnet,-1.2,0.3,-1.0,3.8,0.0,0.9
E01000148,Barnet 030B,E09000003,Barnet,0.1,0.3,-1.3,5.4,0.3,0.9
E01000150,Barnet 036A,E09000003,Barnet,-0.4,0.3,-0.1,4.2,0.5,0.8
E01000151,Barnet 026B,E09000003,Barnet,-0.2,0.3,0.3,5.9,0.3,0.6
E01000152,Barnet 026C,E09000003,Barnet,0.4,0.4,0.1,5.6,-0.3,0.7
E01000153,Barnet 026D,E09000003,Barnet,0.5,0.4,0.7,4.6,-0.1,0.5
E01000154,Barnet 026E,E09000003,Barnet,0.6,0.3,0.1,5.4,0.1,0.6
E01000155,Barnet 030D,E09000003,Barnet,0.3,0.3,-0.1,4.8,1.0,0.5
E01000156,Barnet 022A,E09000003,Barnet,-1.0,0.2,-1.4,2.7,-0.2,0.6
E01000157,Barnet 022B,E09000003,Barnet,0.1,0.2,-0.8,2.9,0.4,0.8
E01000158,Barnet 015A,E09000003,Barnet,-0.5,0.3,-1.3,3.3,0.3,0.7
E01000159,Barnet 015B,E09000003,Barnet,-0.9,0.2,-0.1,2.6,-0.6,0.7
E01000160,Barnet 015C,E09000003,Barnet,0.2,0.2,-0.5,2.5,0.4,0.7
E01000161,Barnet 015D,E09000003,Barnet,-0.7,0.2,-0.9,3.3,0.1,0.8
E01000162,Barnet 015E,E09000003,Barnet,-0.6,0.3,-0.9,3.1,0.0,1.1
E01000163,Barnet 022C,E09000003,Barnet,-0.3,0.3,0.3,4.7,-0.3,0.5
E01000164,Barnet 022D,E09000003,Barnet,-0.3,0.3,-0.1,3.7,-0.5,1.3
E01000165,Barnet 022E,E09000003,Barnet,-0.6,0.2,0.4,2.9,-0.5,0.9
E01000166,Barnet 003A,E09000003,Barnet,-0.4,0.2,0.1,2.4,-0.3,0.3
E01000167,Barnet 002A,E09000003,Barnet,0.1,0.4,-0.1,2.8,-0.5,0.4
E01000168,Barnet 003B,E09000003,Barnet,-1.0,0.2,-0.2,1.0,-0.8,0.1
E01000169,Barnet 003C,E09000003,Barnet,-1.0,0.2,-0.5,2.5,0.2,0.1
E01000170,Barnet 006A,E09000003,Barnet,-0.3,0.3,-0.9,2.8,0.3,0.3
E01000171,Barnet 006B,E09000003,Barnet,-0.2,0.2,-1.0,3.6,1.2,0.7
E01000172,Barnet 003D,E09000003,Barnet,-1.4,0.2,0.0,1.4,-0.3,0.4
E01000173,Barnet 006C,E09000003,Barnet,-1.2,0.3,-0.8,1.7,-0.4,0.1
E01000174,Barnet 006D,E09000003,Barnet,-0.4,0.3,-1.0,3.3,0.6,0.2
E01000175,Barnet 006E,E09000003,Barnet,-1.2,0.2,-0.3,1.7,-0.3,0.4
E01000176,Barnet 027A,E09000003,Barnet,0.4,0.3,0.0,4.2,-0.8,0.8
E01000177,Barnet 029A,E09000003,Barnet,-0.6,0.1,-0.4,2.2,0.1,0.6
E01000178,Barnet 027B,E09000003,Barnet,-1.3,0.1,-0.7,2.6,0.3,0.5
E01000179,Barnet 029B,E09000003,Barnet,-0.9,0.1,-0.1,2.0,-0.1,0.8
E01000180,Barnet 029C,E09000003,Barnet,0.0,0.2,-0.3,2.7,-0.5,0.9
E01000181,Barnet 029D,E09000003,Barnet,-1.8,0.1,-1.6,2.6,0.3,1.1
E01000182,Barnet 029E,E09000003,Barnet,-2.0,0.1,-0.8,2.8,0.5,1.1
E01000183,Barnet 033A,E09000003,Barnet,-1.0,0.1,0.1,2.5,-0.1,0.8
E01000184,Barnet 027C,E09000003,Barnet,0.7,0.3,-0.2,3.8,-0.1,0.7
E01000185,Barnet 029F,E09000003,Barnet,0.4,0.3,-0.6,5.2,-0.1,0.7
E01000186,Barnet 014A,E09000003,Barnet,-1.0,0.2,-0.4,1.6,-1.2,0.6
E01000187,Barnet 014B,E09000003,Barnet,-0.2,0.2,-0.9,3.5,-0.6,0.1
E01000188,Barnet 014C,E09000003,Barnet,-1.0,0.2,-0.1,1.5,-0.8,0.9
E01000189,Barnet 014D,E09000003,Barnet,0.1,0.4,0.1,5.4,0.5,0.5
E01000190,Barnet 014E,E09000003,Barnet,-0.6,0.2,0.3,2.1,-0.9,0.4
E01000191,Barnet 014F,E09000003,Barnet,-1.2,0.2,0.1,1.8,-1.0,0.8
E01000192,Barnet 018A,E09000003,Barnet,-0.6,0.2,-1.6,3.5,0.1,1.3
E01000193,Barnet 018B,E09000003,Barnet,-0.7,0.2,-0.6,3.2,-0.2,1.2
E01000194,Barnet 018C,E09000003,Barnet,-0.4,0.2,-0.4,3.8,0.4,1.4
E01000195,Barnet 013A,E09000003,Barnet,0.1,0.4,0.1,4.3,0.2,0.6
E01000196,Barnet 028A,E09000003,Barnet,0.4,0.2,-1.6,3.8,0.6,0.6
E01000197,Barnet 023A,E09000003,Barnet,-1.5,0.2,-0.8,3.8,0.7,1.0
E01000198,Barnet 025A,E09000003,Barnet,-0.6,0.2,0.5,2.7,-0.4,0.7
E01000199,Barnet 025B,E09000003,Barnet,-1.2,0.1,0.1,2.0,-0.7,0.7
E01000200,Barnet 028B,E09000003,Barnet,-1.4,0.1,-0.3,2.8,-0.4,0.8
E01000201,Barnet 028C,E09000003,Barnet,-0.9,0.1,-0.4,1.7,-0.9,1.3
E01000202,Barnet 028D,E09000003,Barnet,-0.8,0.1,-0.5,2.8,-0.5,1.0
E01000203,Barnet 028E,E09000003,Barnet,-0.9,0.2,-0.3,4.3,-0.5,1.0
E01000204,Barnet 025C,E09000003,Barnet,-1.0,0.2,-0.9,3.0,-0.1,1.1
E01000205,Barnet 035A,E09000003,Barnet,-1.6,0.1,-0.1,1.5,-0.2,0.9
E01000206,Barnet 033B,E09000003,Barnet,-0.8,0.1,1.0,1.6,-0.7,0.8
E01000207,Barnet 033C,E09000003,Barnet,-0.8,0.1,-0.2,2.3,-0.1,0.7
E01000208,Barnet 033D,E09000003,Barnet,-1.0,0.1,0.0,1.9,-1.0,1.2
E01000209,Barnet 035B,E09000003,Barnet,-1.0,0.1,-0.1,2.8,-0.4,0.9
E01000210,Barnet 033E,E09000003,Barnet,-1.5,0.1,-1.0,2.4,-0.3,1.1
E01000211,Barnet 035C,E09000003,Barnet,-0.6,0.2,-1.0,3.8,0.6,1.4
E01000212,Barnet 035D,E09000003,Barnet,-1.6,0.1,0.0,2.7,0.1,0.8
E01000213,Barnet 033F,E09000003,Barnet,-0.6,0.1,0.4,1.9,-0.7,0.8
E01000214,Barnet 038E,E09000003,Barnet,-1.3,0.1,0.2,3.1,0.0,1.3
E01000215,Barnet 037B,E09000003,Barnet,-0.3,0.2,-1.1,3.7,-0.2,1.1
E01000216,Barnet 035E,E09000003,Barnet,-0.9,0.2,-0.6,3.4,-0.6,1.2
E01000217,Barnet 035F,E09000003,Barnet,-0.3,0.2,-0.8,3.4,-0.2,1.2
E01000218,Barnet 037C,E09000003,Barnet,-0.4,0.2,-1.3,3.8,0.0,1.4
E01000219,Barnet 037D,E09000003,Barnet,-0.2,0.2,-0.8,4.0,-0.4,1.4
E01000220,Barnet 037E,E09000003,Barnet,-0.6,0.2,-1.2,4.0,0.0,1.0
E01000221,Barnet 039B,E09000003,Barnet,0.0,0.4,0.3,5.6,-0.8,1.3
E01000222,Barnet 040C,E09000003,Barnet,0.0,0.3,0.2,4.7,-0.3,1.2
E01000223,Barnet 039C,E09000003,Barnet,0.0,0.4,0.2,4.0,-0.4,1.4
E01000224,Barnet 040D,E09000003,Barnet,0.1,0.3,-0.4,3.5,-0.2,0.9
E01000225,Barnet 037F,E09000003,Barnet,-0.2,0.2,-0.3,3.5,-0.7,1.3
E01000226,Barnet 018D,E09000003,Barnet,0.5,0.4,-0.4,4.3,0.4,0.5
E01000227,Barnet 018E,E09000003,Barnet,-0.8,0.2,-0.1,2.5,-0.7,0.6
E01000228,Barnet 007A,E09000003,Barnet,-0.8,0.2,0.1,2.4,-0.8,0.3
E01000229,Barnet 013B,E09000003,Barnet,0.2,0.3,0.4,3.6,-0.5,0.8
E01000230,Barnet 013C,E09000003,Barnet,-0.4,0.3,-0.9,2.5,-1.0,0.7
E01000231,Barnet 013D,E09000003,Barnet,-1.0,0.2,0.3,3.2,-0.3,0.7
E01000232,Barnet 013E,E09000003,Barnet,-0.6,0.2,-0.4,2.9,-0.3,0.8
E01000233,Barnet 013F,E09000003,Barnet,-0.9,0.2,-0.9,2.6,-0.3,0.8
E01000234,Barnet 021D,E09000003,Barnet,-0.6,0.2,-1.0,2.9,-0.6,0.9
E01000235,Barnet 021E,E09000003,Barnet,0.2,0.3,-1.4,4.0,-0.2,1.0
E01000236,Barnet 034A,E09000003,Barnet,-1.0,0.2,-0.9,3.4,-0.1,1.2
E01000237,Barnet 032A,E09000003,Barnet,-0.8,0.2,-0.8,3.7,0.2,1.2
E01000238,Barnet 034B,E09000003,Barnet,-0.4,0.2,-1.0,3.6,0.3,0.8
E01000239,Barnet 031A,E09000003,Barnet,-0.3,0.2,0.6,4.0,0.0,1.0
E01000240,Barnet 031B,E09000003,Barnet,-0.7,0.2,0.6,3.5,0.0,1.0
E01000241,Barnet 031C,E09000003,Barnet,-1.2,0.2,0.0,3.4,-0.1,0.9
E01000242,Barnet 032B,E09000003,Barnet,-0.9,0.2,0.5,3.3,-0.1,1.0
E01000243,Barnet 032C,E09000003,Barnet,-0.6,0.2,-1.5,4.1,0.8,1.2
E01000244,Barnet 032D,E09000003,Barnet,-0.1,0.2,-1.0,4.2,0.6,1.3
E01000245,Barnet 032E,E09000003,Barnet,-0.1,0.3,-1.4,5.5,0.4,1.3
E01000246,Barnet 002B,E09000003,Barnet,-1.5,0.2,0.4,1.8,-0.1,0.5
E01000247,Barnet 002C,E09000003,Barnet,-1.2,0.2,-0.2,2.7,-0.4,0.2
E01000248,Barnet 001A,E09000003,Barnet,-1.5,0.2,-0.8,2.1,-0.1,0.8
E01000249,Barnet 001B,E09000003,Barnet,-1.7,0.2,0.2,0.8,-0.5,0.2
E01000250,Barnet 001C,E09000003,Barnet,-1.0,0.2,-0.2,3.0,0.1,0.6
E01000251,Barnet 002D,E09000003,Barnet,-0.8,0.3,-1.2,3.1,0.3,0.3
E01000252,Barnet 002E,E09000003,Barnet,-0.9,0.2,0.0,2.7,-0.5,0.5
E01000253,Barnet 007B,E09000003,Barnet,-1.1,0.2,1.1,0.4,-0.7,0.5
E01000254,Barnet 001D,E09000003,Barnet,-1.1,0.1,0.3,1.2,0.5,0.5
E01000255,Barnet 017A,E09000003,Barnet,-0.3,0.3,-0.5,3.5,0.3,0.2
E01000256,Barnet 016A,E09000003,Barnet,-0.7,0.2,0.5,2.4,-0.6,0.5
E01000257,Barnet 017B,E09000003,Barnet,0.3,0.3,-0.4,5.2,0.3,0.5
E01000258,Barnet 016B,E09000003,Barnet,-0.7,0.2,-0.8,2.6,0.0,1.3
E01000259,Barnet 025D,E09000003,Barnet,-0.8,0.2,0.0,2.9,-0.1,0.7
E01000260,Barnet 025E,E09000003,Barnet,-0.3,0.2,0.8,3.3,0.0,0.9
E01000261,Barnet 017C,E09000003,Barnet,-1.4,0.2,0.6,2.3,0.0,0.4
