constituency_name,region_name,country_name,constituency_type,electorate,valid_votes,invalid_votes,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other
Peterborough,East,England,Borough,71522,47738,145,22343,22950,1597,0,848,0,0,0,0,0,0,0,0
"Plymouth, Moor View",South West,England,Borough,69342,45417,70,23567,18548,917,1849,536,0,0,0,0,0,0,0,0
"Plymouth, Sutton and Devonport",South West,England,Borough,76584,51208,83,20476,27283,1244,1364,604,0,0,0,0,0,0,0,237
Pontypridd,Wales,Wales,County,60564,39894,106,10655,22103,1963,1071,0,0,4102,0,0,0,0,0,0
Poole,South West,England,Borough,73796,49850,126,28888,14679,4433,0,1299,0,0,0,0,0,0,0,551
Poplar and Limehouse,London,England,Borough,87331,58814,277,11846,39558,3959,849,989,0,0,0,0,0,0,0,1613
Portsmouth North,South East,England,Borough,71374,47210,77,25860,15895,2608,1926,791,0,0,0,0,0,0,0,130
Portsmouth South,South East,England,Borough,69785,44566,94,16736,18290,7699,1129,712,0,0,0,0,0,0,0,0
Preseli Pembrokeshire,Wales,Wales,County,58554,42197,59,18302,17988,1106,850,0,0,2711,0,0,0,0,0,1240
Preston,North West,England,Borough,57791,35597,63,8487,24210,1204,1348,348,0,0,0,0,0,0,0,0
Pudsey,Yorkshire and The Humber,England,Borough,72622,53959,118,25550,25219,1761,0,0,0,0,0,0,0,0,0,1429
Putney,London,England,Borough,65031,46894,112,20679,19125,5448,477,1107,0,0,0,0,0,0,0,58
Rayleigh and Wickford,East,England,County,78556,55323,96,36914,13464,1557,2326,1062,0,0,0,0,0,0,0,0
Reading East,South East,England,Borough,75537,55238,132,23344,27093,3378,0,1093,0,0,0,0,0,0,0,330
Reading West,South East,England,County,74523,51766,147,25311,22435,3041,0,979,0,0,0,0,0,0,0,0
Redcar,North East,England,Borough,66836,42560,66,14138,23623,2849,1950,0,0,0,0,0,0,0,0,0
Redditch,West Midlands,England,County,64413,45203,95,23652,16289,1173,1371,380,0,0,0,0,0,0,0,2338
Reigate,South East,England,Borough,74628,53823,170,30896,13282,5889,1542,2214,0,0,0,0,0,0,0,0
Rhondda,Wales,Wales,County,50514,32936,60,3333,21096,277,880,0,0,7350,0,0,0,0,0,0
Ribble Valley,North West,England,County,77968,55200,163,31919,18720,3247,0,1314,0,0,0,0,0,0,0,0
Richmond Park,London,England,Borough,80025,63330,131,28588,5773,28543,426,0,0,0,0,0,0,0,0,0
Richmond (Yorks),Yorkshire and The Humber,England,County,80905,57013,135,36458,13350,3360,0,1739,0,0,0,0,0,0,0,2106
Rochdale,North West,England,County,78064,50044,103,14216,29035,4027,1641,0,0,0,0,0,0,0,0,1125
Rochester and Strood,South East,England,County,82702,53769,70,29232,19382,1189,2893,781,0,0,0,0,0,0,0,292
Rochford and Southend East,East,England,County,73501,47248,75,23013,17465,1265,1777,804,0,0,0,0,0,0,0,2924
Romford,London,England,Borough,73493,49944,126,29671,15893,1215,2350,815,0,0,0,0,0,0,0,0
Romsey and Southampton North,South East,England,County,67186,50128,117,28668,9614,10622,0,953,0,0,0,0,0,0,0,271
Rossendale and Darwen,North West,England,Borough,72486,50156,134,25499,22283,1550,0,824,0,0,0,0,0,0,0,0
"Ross, Skye and Lochaber",Scotland,Scotland,County,53638,38454,49,9561,4695,8042,0,0,15480,0,0,0,0,0,0,676
