constituency_name,region_name,country_name,constituency_type,electorate,valid_votes,invalid_votes,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other
Wolverhampton North East,West Midlands,England,Borough,60770,36508,85,14695,19282,570,1479,482,0,0,0,0,0,0,0,0
Wolverhampton South East,West Midlands,England,Borough,60301,36304,86,12623,21137,448,1675,421,0,0,0,0,0,0,0,0
Wolverhampton South West,West Midlands,England,Borough,59971,42346,115,18714,20899,784,1012,579,0,0,0,0,0,0,0,358
Worcester,West Midlands,England,Borough,73893,51423,92,24731,22223,1757,1354,1211,0,0,0,0,0,0,0,147
Workington,North West,England,County,60265,41676,55,17392,21317,1133,1556,0,0,0,0,0,0,0,0,278
Worsley and Eccles South,North West,England,County,73689,45642,115,17667,26046,1087,0,842,0,0,0,0,0,0,0,0
Worthing West,South East,England,Borough,77757,54503,111,30181,18091,2982,1635,1614,0,0,0,0,0,0,0,0
Wrexham,Wales,Wales,County,49881,35092,68,15321,17153,865,0,0,0,1753,0,0,0,0,0,0
Wycombe,South East,England,County,77087,53493,144,26766,20188,4147,1210,1182,0,0,0,0,0,0,0,0
Wyre and Preston North,North West,England,County,72319,52646,126,30684,18438,2551,0,973,0,0,0,0,0,0,0,0
Wyre Forest,West Midlands,England,County,77758,51129,90,29859,16525,1943,1777,1025,0,0,0,0,0,0,0,0
Wythenshawe and Sale East,North West,England,Borough,76361,45846,71,13581,28525,1504,1475,576,0,0,0,0,0,0,0,185
Yeovil,South West,England,County,82916,59404,94,32369,7418,17646,0,1052,0,0,0,0,0,0,0,919
Ynys Mon,Wales,Wales,County,52921,37367,40,10384,15643,479,624,0,0,10237,0,0,0,0,0,0
York Central,Yorkshire and The Humber,England,Borough,77315,53088,213,16019,34594,2475,0,0,0,0,0,0,0,0,0,0
York Outer,Yorkshire and The Humber,England,County,75835,57427,146,29356,21067,5910,0,1094,0,0,0,0,0,0,0,0
